vehicle_type,type_code,distance_km,weight_kg,load_ratio,mileage_kmpl,fuel_l
heavy-truck,0,429.2,2988.0,0.3,5.74,77.5
tempo,2,400.6,714.0,0.59,14.82,32.14
tempo,2,478.6,411.0,0.34,12.24,41.35
tempo,2,532.4,853.0,0.71,15.74,37.1
delivery-van,3,204.6,715.0,0.89,11.89,19.42
mini-truck,1,250.6,4328.0,0.87,6.57,47.29
tempo,2,717.1,1182.0,0.98,14.76,58.58
mini-truck,1,191.2,4924.0,0.98,8.12,29.18
tempo,2,363.9,629.0,0.52,14.27,29.47
heavy-truck,0,339.7,5073.0,0.51,4.97,76.71
heavy-truck,0,97.0,9102.0,0.91,5.82,21.52
delivery-van,3,425.0,771.0,0.96,12.75,41.01
heavy-truck,0,643.2,5393.0,0.54,4.66,158.23
heavy-truck,0,177.5,6792.0,0.68,5.07,42.42
heavy-truck,0,478.9,2432.0,0.24,5.32,102.44
delivery-van,3,616.4,459.0,0.57,13.7,48.77
heavy-truck,0,624.6,8879.0,0.89,5.02,155.45
delivery-van,3,151.2,164.0,0.21,12.99,12.17
heavy-truck,0,206.2,4657.0,0.47,4.74,48.82
delivery-van,3,156.3,575.0,0.72,13.37,13.98
heavy-truck,0,747.0,6978.0,0.7,5.27,159.64
heavy-truck,0,370.9,8576.0,0.86,4.27,108.42
delivery-van,3,701.5,733.0,0.92,14.14,61.56
delivery-van,3,78.7,512.0,0.64,13.27,6.79
heavy-truck,0,219.7,9304.0,0.93,4.55,58.46
delivery-van,3,167.2,246.0,0.31,14.02,12.92
mini-truck,1,75.2,2061.0,0.41,6.91,12.21
tempo,2,280.0,415.0,0.35,12.16,24.27
tempo,2,356.4,919.0,0.77,15.48,25.14
mini-truck,1,275.5,4488.0,0.9,7.64,48.44
mini-truck,1,183.4,1464.0,0.29,7.86,24.12
mini-truck,1,59.0,4002.0,0.8,6.45,10.61
mini-truck,1,240.1,4684.0,0.94,6.63,43.5
mini-truck,1,241.3,2457.0,0.49,7.95,33.9
mini-truck,1,738.7,2545.0,0.51,8.0,96.45
mini-truck,1,502.5,3589.0,0.72,8.13,74.66
mini-truck,1,525.4,4296.0,0.86,7.47,92.26
tempo,2,192.6,328.0,0.27,14.54,13.96
tempo,2,681.6,888.0,0.74,13.33,63.49
tempo,2,185.9,267.0,0.22,12.54,16.39
delivery-van,3,89.7,241.0,0.3,12.67,7.81
tempo,2,173.1,292.0,0.24,13.67,13.08
tempo,2,210.7,719.0,0.6,15.9,17.0
mini-truck,1,523.2,1808.0,0.36,6.62,82.05
heavy-truck,0,595.8,6656.0,0.67,5.43,128.17
mini-truck,1,643.6,2940.0,0.59,8.48,83.39
mini-truck,1,348.7,3928.0,0.79,7.91,58.62
delivery-van,3,574.9,782.0,0.98,13.97,47.62
delivery-van,3,473.8,571.0,0.71,11.32,51.01
mini-truck,1,447.1,4743.0,0.95,7.19,78.83
tempo,2,605.2,730.0,0.61,16.11,41.95
mini-truck,1,670.3,3111.0,0.62,6.95,106.6
mini-truck,1,601.0,2201.0,0.44,7.61,88.34
heavy-truck,0,349.5,4337.0,0.43,5.09,78.77
mini-truck,1,170.0,3383.0,0.68,6.71,31.12
delivery-van,3,422.1,777.0,0.97,13.51,38.9
delivery-van,3,182.7,313.0,0.39,10.87,19.26
mini-truck,1,144.8,4893.0,0.98,6.64,26.62
tempo,2,95.6,568.0,0.47,13.23,8.9
heavy-truck,0,594.7,4313.0,0.43,5.09,135.21
tempo,2,453.9,248.0,0.21,15.17,28.36
delivery-van,3,166.3,466.0,0.58,13.01,13.93
tempo,2,276.8,385.0,0.32,15.62,18.73
mini-truck,1,519.0,4372.0,0.87,8.31,78.32
heavy-truck,0,419.6,6724.0,0.67,5.05,97.74
delivery-van,3,233.2,553.0,0.69,13.95,19.5
delivery-van,3,80.6,213.0,0.27,11.53,6.9
mini-truck,1,321.4,2156.0,0.43,8.22,43.69
delivery-van,3,640.2,380.0,0.48,10.41,73.63
mini-truck,1,734.4,4020.0,0.8,7.99,101.42
heavy-truck,0,86.5,7511.0,0.75,5.4,18.76
mini-truck,1,728.0,2698.0,0.54,8.25,105.62
tempo,2,540.3,994.0,0.83,12.77,51.44
tempo,2,314.4,533.0,0.44,15.54,23.23
mini-truck,1,503.0,2601.0,0.52,8.38,61.79
heavy-truck,0,491.0,3206.0,0.32,5.65,92.01
delivery-van,3,679.3,562.0,0.7,13.39,58.18
mini-truck,1,509.9,3227.0,0.65,8.32,67.17
tempo,2,529.2,778.0,0.65,14.2,42.7
mini-truck,1,280.1,3335.0,0.67,7.32,46.18
delivery-van,3,276.3,656.0,0.82,13.27,24.43
heavy-truck,0,488.9,5709.0,0.57,5.88,96.7
mini-truck,1,86.8,3864.0,0.77,6.49,14.81
mini-truck,1,640.6,1722.0,0.34,7.6,95.23
heavy-truck,0,381.2,3333.0,0.33,5.19,79.26
delivery-van,3,584.7,644.0,0.8,10.47,67.65
tempo,2,534.8,1099.0,0.92,15.07,43.53
heavy-truck,0,51.7,9296.0,0.93,5.64,12.02
delivery-van,3,127.0,679.0,0.85,12.34,13.12
heavy-truck,0,327.5,5317.0,0.53,4.47,83.66
mini-truck,1,526.2,2781.0,0.56,8.69,68.43
mini-truck,1,431.3,1775.0,0.36,8.28,60.42
delivery-van,3,271.3,380.0,0.47,12.04,25.47
delivery-van,3,191.1,634.0,0.79,13.82,15.99
heavy-truck,0,724.5,8992.0,0.9,4.56,204.56
heavy-truck,0,576.8,7106.0,0.71,5.65,120.11
delivery-van,3,204.4,390.0,0.49,11.65,18.81
mini-truck,1,533.7,3638.0,0.73,7.16,84.13
tempo,2,442.0,291.0,0.24,15.57,30.0
delivery-van,3,595.1,441.0,0.55,13.43,52.08
delivery-van,3,668.8,688.0,0.86,13.2,65.33
delivery-van,3,448.2,596.0,0.75,12.35,43.01
delivery-van,3,257.9,678.0,0.85,10.4,29.88
delivery-van,3,699.2,682.0,0.85,11.86,73.0
delivery-van,3,545.8,288.0,0.36,10.87,52.81
delivery-van,3,666.1,332.0,0.42,10.87,65.94
tempo,2,648.5,837.0,0.7,15.34,51.2
tempo,2,391.2,260.0,0.22,12.98,32.48
mini-truck,1,304.7,1648.0,0.33,7.32,47.48
tempo,2,654.0,349.0,0.29,13.78,51.39
mini-truck,1,135.9,4732.0,0.95,8.12,19.43
tempo,2,306.4,557.0,0.46,16.46,20.57
heavy-truck,0,396.7,5179.0,0.52,5.81,77.77
tempo,2,630.2,278.0,0.23,15.44,45.56
heavy-truck,0,582.9,2118.0,0.21,5.15,129.97
mini-truck,1,438.4,1578.0,0.32,7.39,64.95
heavy-truck,0,508.2,4715.0,0.47,5.28,96.88
heavy-truck,0,98.9,8832.0,0.88,5.71,20.59
delivery-van,3,383.2,575.0,0.72,10.46,47.3
mini-truck,1,264.8,1566.0,0.31,8.52,36.84
mini-truck,1,638.0,3432.0,0.69,7.41,106.62
tempo,2,176.9,971.0,0.81,12.98,16.03
delivery-van,3,419.0,764.0,0.96,12.3,40.36
heavy-truck,0,712.8,5801.0,0.58,5.53,153.46
tempo,2,337.9,612.0,0.51,16.45,22.8
mini-truck,1,288.6,2059.0,0.41,7.29,46.97
mini-truck,1,70.2,2617.0,0.52,7.73,9.94
heavy-truck,0,731.5,3839.0,0.38,5.69,144.97
delivery-van,3,416.2,368.0,0.46,11.08,44.39
delivery-van,3,88.9,213.0,0.27,13.58,7.33
tempo,2,193.5,794.0,0.66,12.38,19.09
heavy-truck,0,520.2,9358.0,0.94,4.36,151.53
heavy-truck,0,460.8,3388.0,0.34,5.37,90.71
heavy-truck,0,656.4,6502.0,0.65,4.48,159.73
mini-truck,1,616.7,3280.0,0.66,8.34,86.91
heavy-truck,0,75.6,8026.0,0.8,5.39,16.63
heavy-truck,0,287.3,3129.0,0.31,5.4,57.76
tempo,2,52.4,377.0,0.31,16.04,3.46
heavy-truck,0,214.0,3873.0,0.39,5.21,47.64
tempo,2,431.5,760.0,0.63,12.8,38.95
mini-truck,1,699.7,1754.0,0.35,7.15,100.44
tempo,2,431.4,977.0,0.81,16.05,30.77
tempo,2,310.2,820.0,0.68,14.75,23.42
heavy-truck,0,379.6,7593.0,0.76,5.18,89.77
tempo,2,363.3,1164.0,0.97,14.53,32.04
tempo,2,452.3,671.0,0.56,14.54,34.26
heavy-truck,0,137.2,9758.0,0.98,4.56,36.28
delivery-van,3,746.1,560.0,0.7,13.63,67.24
delivery-van,3,405.0,709.0,0.89,12.63,37.38
mini-truck,1,350.7,2964.0,0.59,6.45,61.11
tempo,2,106.5,764.0,0.64,13.32,8.73
heavy-truck,0,370.3,7249.0,0.72,5.15,81.86
mini-truck,1,538.9,1025.0,0.21,8.69,70.74
delivery-van,3,415.1,382.0,0.48,12.41,38.06
heavy-truck,0,487.8,9451.0,0.95,4.5,143.74
tempo,2,468.0,1175.0,0.98,14.31,39.34
delivery-van,3,267.7,649.0,0.81,12.15,26.1
delivery-van,3,164.4,337.0,0.42,11.91,14.32
delivery-van,3,161.3,613.0,0.77,11.32,16.53
mini-truck,1,644.0,3797.0,0.76,8.27,94.43
mini-truck,1,272.9,4657.0,0.93,6.85,52.24
mini-truck,1,107.9,3474.0,0.69,8.67,13.48
tempo,2,315.0,389.0,0.32,15.01,22.75
delivery-van,3,721.7,378.0,0.47,10.62,70.52
heavy-truck,0,211.6,5402.0,0.54,5.76,43.62
tempo,2,515.1,613.0,0.51,14.03,44.62
delivery-van,3,668.3,404.0,0.51,11.36,66.93
tempo,2,163.3,1103.0,0.92,12.27,15.94
tempo,2,317.8,596.0,0.5,14.6,23.66
tempo,2,303.5,251.0,0.21,13.57,20.64
delivery-van,3,712.9,571.0,0.71,10.66,76.42
mini-truck,1,266.0,1971.0,0.39,8.38,35.27
tempo,2,556.1,308.0,0.26,14.86,38.62
tempo,2,62.6,720.0,0.6,12.98,5.72
mini-truck,1,223.3,3246.0,0.65,7.35,35.35
mini-truck,1,350.4,3533.0,0.71,7.86,50.46
mini-truck,1,614.5,4292.0,0.86,8.48,84.74
heavy-truck,0,96.3,5376.0,0.54,5.68,18.96
delivery-van,3,644.6,400.0,0.5,12.02,60.41
delivery-van,3,597.2,251.0,0.31,11.68,57.54
heavy-truck,0,115.4,4602.0,0.46,5.83,22.63
heavy-truck,0,597.3,3879.0,0.39,5.49,116.9
heavy-truck,0,714.8,8524.0,0.85,5.24,160.87
tempo,2,263.2,1039.0,0.87,14.09,24.47
heavy-truck,0,691.4,4330.0,0.43,5.1,139.67
mini-truck,1,228.8,4697.0,0.94,7.64,37.27
tempo,2,87.6,488.0,0.41,14.84,6.69
heavy-truck,0,176.0,8662.0,0.87,5.85,36.67
tempo,2,675.6,386.0,0.32,15.88,44.26
heavy-truck,0,420.2,5109.0,0.51,5.04,89.63
delivery-van,3,390.9,354.0,0.44,11.16,40.85
heavy-truck,0,138.2,7128.0,0.71,5.23,32.29
tempo,2,216.6,1050.0,0.88,16.23,15.53
tempo,2,367.7,892.0,0.74,14.86,28.28
heavy-truck,0,250.8,6837.0,0.68,4.52,64.08
tempo,2,749.0,1141.0,0.95,14.47,62.66
delivery-van,3,551.5,518.0,0.65,12.48,53.53
heavy-truck,0,237.6,8207.0,0.82,4.56,62.96
delivery-van,3,599.3,263.0,0.33,12.32,53.33
delivery-van,3,541.8,611.0,0.76,12.49,49.82
heavy-truck,0,240.7,4116.0,0.41,5.0,57.24
heavy-truck,0,418.3,4444.0,0.44,5.2,85.12
heavy-truck,0,200.8,2566.0,0.26,5.63,37.5
tempo,2,617.3,546.0,0.45,15.95,40.45
tempo,2,199.2,241.0,0.2,13.74,13.93
delivery-van,3,261.5,650.0,0.81,10.85,28.21
heavy-truck,0,617.1,2998.0,0.3,5.79,107.16
mini-truck,1,294.5,2932.0,0.59,7.19,47.6
heavy-truck,0,342.7,8951.0,0.9,5.37,78.57
tempo,2,544.8,678.0,0.57,13.78,43.61
mini-truck,1,532.5,4262.0,0.85,8.1,83.05
mini-truck,1,331.3,2225.0,0.44,8.16,47.67
delivery-van,3,515.7,396.0,0.49,12.67,49.1
delivery-van,3,591.6,278.0,0.35,10.29,64.73
delivery-van,3,689.9,728.0,0.91,13.07,67.45
heavy-truck,0,601.0,6212.0,0.62,5.37,123.11
heavy-truck,0,236.8,5219.0,0.52,4.91,53.78
mini-truck,1,85.9,4802.0,0.96,6.58,16.17
tempo,2,631.9,1191.0,0.99,14.23,54.19
delivery-van,3,633.7,169.0,0.21,12.82,50.72
mini-truck,1,111.4,4273.0,0.85,7.57,17.91
delivery-van,3,315.1,475.0,0.59,12.37,29.46
delivery-van,3,149.4,209.0,0.26,11.11,14.72
tempo,2,386.3,1042.0,0.87,16.04,30.33
mini-truck,1,605.8,3968.0,0.79,7.51,99.24
mini-truck,1,557.5,4985.0,1.0,7.38,95.47
tempo,2,651.7,695.0,0.58,13.58,55.29
tempo,2,658.2,535.0,0.45,14.34,52.51
mini-truck,1,228.4,4479.0,0.9,8.22,35.58
tempo,2,246.0,325.0,0.27,14.07,19.56
tempo,2,590.1,871.0,0.73,16.23,39.43
tempo,2,610.9,1198.0,1.0,14.46,53.9
heavy-truck,0,445.7,5169.0,0.52,5.75,92.03
delivery-van,3,415.2,221.0,0.28,10.73,38.46
heavy-truck,0,482.7,5485.0,0.55,5.68,87.64
delivery-van,3,504.3,545.0,0.68,10.8,52.08
tempo,2,635.7,839.0,0.7,16.01,44.32
delivery-van,3,412.6,609.0,0.76,12.83,39.21
heavy-truck,0,157.6,2738.0,0.27,4.29,40.93
tempo,2,403.5,502.0,0.42,12.12,36.09
mini-truck,1,676.1,1059.0,0.21,8.56,82.6
heavy-truck,0,210.5,6733.0,0.67,5.61,42.73
tempo,2,606.8,512.0,0.43,12.81,52.25
mini-truck,1,99.3,3697.0,0.74,8.46,13.77
mini-truck,1,298.3,1145.0,0.23,8.56,40.57
tempo,2,270.1,1040.0,0.87,15.67,19.41
heavy-truck,0,660.2,7714.0,0.77,4.95,163.22
tempo,2,432.9,529.0,0.44,15.61,31.37
tempo,2,214.7,1196.0,1.0,12.25,21.16
delivery-van,3,145.6,639.0,0.8,11.19,14.87
tempo,2,482.5,419.0,0.35,13.11,43.04
tempo,2,435.6,987.0,0.82,13.65,40.12
heavy-truck,0,657.6,4408.0,0.44,4.64,143.74
mini-truck,1,76.7,2134.0,0.43,8.52,9.57
delivery-van,3,331.4,376.0,0.47,12.38,30.59
delivery-van,3,135.7,719.0,0.9,13.37,12.12
heavy-truck,0,508.6,6712.0,0.67,5.36,106.88
mini-truck,1,506.8,4392.0,0.88,8.15,75.61
heavy-truck,0,669.6,8390.0,0.84,4.56,180.29
mini-truck,1,98.5,3221.0,0.64,6.81,15.22
tempo,2,80.7,392.0,0.33,15.58,5.27
heavy-truck,0,254.6,8240.0,0.82,4.67,66.02
delivery-van,3,258.6,659.0,0.82,10.29,29.56
delivery-van,3,343.9,163.0,0.2,10.72,34.33
tempo,2,156.9,615.0,0.51,15.71,11.18
tempo,2,478.1,1057.0,0.88,16.11,35.05
tempo,2,640.1,1125.0,0.94,12.63,62.54
tempo,2,521.8,723.0,0.6,14.04,48.13
heavy-truck,0,317.1,9554.0,0.96,5.31,72.86
delivery-van,3,84.5,412.0,0.52,11.82,7.91
mini-truck,1,187.7,1553.0,0.31,8.11,22.7
mini-truck,1,180.0,1072.0,0.21,6.43,29.24
mini-truck,1,579.2,4180.0,0.84,7.59,94.47
mini-truck,1,416.7,3195.0,0.64,7.13,63.66
mini-truck,1,477.3,4226.0,0.85,6.54,85.61
heavy-truck,0,276.1,8141.0,0.81,4.84,66.7
tempo,2,662.7,813.0,0.68,16.27,44.3
tempo,2,732.2,882.0,0.73,12.19,70.94
mini-truck,1,201.6,3861.0,0.77,7.34,32.55
heavy-truck,0,347.2,5783.0,0.58,4.99,75.86
heavy-truck,0,525.0,4009.0,0.4,4.57,128.3
delivery-van,3,305.0,431.0,0.54,14.14,25.68
tempo,2,406.0,787.0,0.66,15.78,29.89
delivery-van,3,319.9,493.0,0.62,14.14,28.39
delivery-van,3,678.2,556.0,0.69,12.7,63.54
tempo,2,90.7,855.0,0.71,14.97,6.75
mini-truck,1,176.0,2115.0,0.42,7.47,26.04
mini-truck,1,481.6,1032.0,0.21,8.42,64.36
heavy-truck,0,111.3,8679.0,0.87,5.18,27.45
heavy-truck,0,386.5,7814.0,0.78,5.14,93.7
delivery-van,3,223.0,710.0,0.89,11.46,23.86
tempo,2,92.4,1136.0,0.95,13.34,8.53
mini-truck,1,265.1,2461.0,0.49,7.27,44.28
heavy-truck,0,727.3,6199.0,0.62,5.26,160.87
heavy-truck,0,86.5,3167.0,0.32,4.9,17.7
tempo,2,630.1,331.0,0.28,16.16,40.27
heavy-truck,0,52.9,4090.0,0.41,4.81,11.27
delivery-van,3,235.2,648.0,0.81,12.05,23.24
delivery-van,3,538.6,615.0,0.77,12.25,51.5
mini-truck,1,445.0,2379.0,0.48,8.26,57.87
tempo,2,164.2,345.0,0.29,12.11,14.68
heavy-truck,0,53.3,5934.0,0.59,5.73,10.33
tempo,2,444.3,947.0,0.79,15.61,31.53
tempo,2,217.3,632.0,0.53,16.41,14.67
mini-truck,1,625.6,1600.0,0.32,8.2,82.03
tempo,2,445.0,318.0,0.26,13.87,36.9
delivery-van,3,144.0,272.0,0.34,13.52,11.9
tempo,2,65.1,578.0,0.48,14.19,5.04
tempo,2,205.7,972.0,0.81,12.52,20.05
mini-truck,1,692.1,4575.0,0.92,8.45,98.35
delivery-van,3,730.4,735.0,0.92,10.41,89.96
delivery-van,3,334.6,631.0,0.79,12.8,31.46
heavy-truck,0,637.4,7564.0,0.76,5.54,135.18
tempo,2,226.8,524.0,0.44,13.88,18.77
