vehicle_type,type_code,capacity_kg,weight_kg,distance_km,mileage_kmpl,cost_per_km,health_score,available,utility
mini-truck,1,5000.0,2620.773813062525,204.71401126931227,6.95,14.58,49.5,1.0,0.6622532643074343
mini-truck,1,5000.0,4905.237592376688,271.5759052709211,7.52,16.79,61.6,1.0,0.7117206276572213
tempo,2,1200.0,444.2286345013149,367.45146660015786,12.18,2.29,49.0,1.0,0.7398030397727844
delivery-van,3,800.0,279.1472292313356,336.2282280805851,12.57,1.34,45.2,1.0,0.8224106073415535
mini-truck,1,5000.0,4156.786643637268,457.709464215944,6.74,8.31,85.3,0.0,0.6439130331207747
tempo,2,1200.0,724.9158675780686,266.7065893655234,14.62,3.21,82.0,1.0,0.9171319491848214
delivery-van,3,800.0,388.1960354997325,157.84470902166584,12.98,2.72,50.7,1.0,0.9110200264818208
mini-truck,1,5000.0,3003.261479826698,136.59162897949003,8.37,12.8,95.2,1.0,0.7268261133479699
tempo,2,1200.0,754.8865429811412,518.5445024625014,13.7,4.54,47.9,1.0,0.8701917559970643
delivery-van,3,800.0,789.9663423768371,685.3883889463951,12.94,2.88,54.2,1.0,0.985159005342262
mini-truck,1,5000.0,872.0687780814005,456.9398649706372,6.67,8.93,75.9,1.0,0.7168287588057828
tempo,2,1200.0,637.5114478864346,590.9738075173248,14.95,3.11,69.0,0.0,0.7204199999681613
heavy-truck,0,10000.0,5892.683179285937,433.87892245199106,4.79,18.02,57.8,1.0,0.6570796148820425
heavy-truck,0,10000.0,8305.052700779763,379.1663577168607,4.94,33.95,90.6,1.0,0.5691537372388277
delivery-van,3,800.0,429.99826503356377,70.59977260271509,10.93,1.92,52.2,1.0,0.8727547507657105
mini-truck,1,5000.0,4485.888171679407,70.38832067915358,7.69,18.7,77.2,1.0,0.7805631444602754
heavy-truck,0,10000.0,5666.85670272692,265.5299718440979,5.14,27.72,96.1,0.0,0.5223445291833148
heavy-truck,0,10000.0,6348.710190621178,322.5597426372419,4.55,22.96,81.4,1.0,0.5629343439271689
mini-truck,1,5000.0,3101.3532973491588,165.05883540830632,8.36,21.07,78.3,1.0,0.7866302391182843
mini-truck,1,5000.0,4910.256697311254,287.62345485072376,7.86,14.06,59.0,0.0,0.4916646200493101
heavy-truck,0,10000.0,2955.857051024139,499.98660644169126,4.92,37.08,48.4,1.0,0.6808880140605397
delivery-van,3,800.0,783.1365692968149,546.5806237084176,11.93,2.01,65.8,1.0,0.9252396198015089
mini-truck,1,5000.0,1157.1123932834037,591.220355002191,6.94,13.05,77.3,1.0,0.7780976527676932
tempo,2,1200.0,703.9771565621177,608.295878344589,13.27,3.94,88.3,1.0,0.9603114040640748
mini-truck,1,5000.0,4732.822050762322,208.89586272859574,7.25,12.71,76.9,1.0,0.6849979758649765
mini-truck,1,5000.0,1007.2107942864235,452.90815033955744,6.55,17.95,60.4,1.0,0.7116698571658712
tempo,2,1200.0,865.9797536979625,149.91034030756666,15.36,3.62,73.7,1.0,0.970004317136
mini-truck,1,5000.0,2838.683362939545,513.0431015305317,6.67,18.11,79.5,1.0,0.7077829178335372
delivery-van,3,800.0,717.4670856943713,252.37190761578375,10.68,3.27,54.9,1.0,0.8552612323167629
heavy-truck,0,10000.0,2317.499156046093,519.4928290128369,5.13,19.84,82.5,0.0,0.5331103341565266
tempo,2,1200.0,502.62801047403576,587.0716390142715,13.46,4.8,66.6,1.0,0.9110038433472186
delivery-van,3,800.0,441.10134668985353,335.58215589114803,12.15,1.5,83.9,1.0,0.9194834622951957
delivery-van,3,800.0,795.2752756358647,464.41729920569674,13.18,1.86,87.3,1.0,0.8848866485483078
delivery-van,3,800.0,121.8848810599567,239.7881320186712,13.32,3.19,100.0,1.0,0.952395623554307
mini-truck,1,5000.0,2454.7801608412833,120.11147039668032,7.67,17.37,94.6,0.0,0.6581256642707586
delivery-van,3,800.0,414.7376877386187,555.8132064706939,10.88,1.28,65.1,1.0,0.9176677795033908
heavy-truck,0,10000.0,8135.696175090084,627.4165869690878,5.32,17.96,80.3,1.0,0.7976087780988763
tempo,2,1200.0,1188.1272523992009,302.1304291869936,12.81,4.57,80.0,1.0,0.9615811316333953
tempo,2,1200.0,821.3324053646436,309.98521695700106,15.02,2.86,55.0,1.0,0.9048549573166653
mini-truck,1,5000.0,4633.156432774166,86.25537776949152,7.4,17.56,57.9,1.0,0.6917326513481444
delivery-van,3,800.0,287.60374308478555,408.29178205482486,10.9,3.14,70.1,1.0,0.8567378910424538
tempo,2,1200.0,511.1336938028071,561.373702851657,15.15,4.74,54.7,0.0,0.715669070905472
mini-truck,1,5000.0,4360.901208798887,309.0781130441046,7.95,16.01,61.1,0.0,0.5304747547856632
delivery-van,3,800.0,276.71358874919247,480.54100980700474,13.17,2.22,86.6,1.0,1.0
delivery-van,3,800.0,813.6841161778657,653.951515771134,12.69,2.94,56.0,1.0,0.8004732949492418
tempo,2,1200.0,983.1324383719478,177.0846552118354,14.76,4.8,86.5,1.0,0.8119325835008326
heavy-truck,0,10000.0,7947.908320900481,111.99580319360905,4.89,17.14,63.2,1.0,0.777846236873578
tempo,2,1200.0,1165.5441243228138,321.5063620798497,13.35,4.05,78.4,1.0,0.9387518664585733
tempo,2,1200.0,235.41734844226588,385.34072730566584,15.7,3.42,50.3,1.0,0.9234986210405999
delivery-van,3,800.0,514.8507026227632,539.6065405752377,12.16,2.19,73.5,1.0,0.8953575747049839
heavy-truck,0,10000.0,5196.2934911285965,455.8071407221091,4.58,30.59,45.3,1.0,0.5144285023356647
tempo,2,1200.0,961.1247106032714,66.23192449180046,15.86,4.24,81.1,1.0,0.8825296956900403
tempo,2,1200.0,611.5380772658492,362.30842297430866,13.15,3.45,78.1,0.0,0.7747028925230192
delivery-van,3,800.0,258.2379605710165,363.2010700865984,12.84,2.39,79.4,0.0,0.729658328954925
tempo,2,1200.0,488.1784869425261,193.6696650386245,13.45,3.43,60.2,1.0,0.9546458302572856
heavy-truck,0,10000.0,9259.777366773726,339.13344944770097,4.59,23.25,86.3,1.0,0.6000686721449092
mini-truck,1,5000.0,2522.466148160774,333.67817068528757,7.84,10.92,68.1,1.0,0.7198621161412941
tempo,2,1200.0,588.1344607132177,509.1424473349273,14.32,3.42,56.9,1.0,0.9578670289496674
tempo,2,1200.0,815.2107125750915,638.0102420372939,13.44,2.85,94.8,1.0,0.9542936835325321
tempo,2,1200.0,377.5923838575253,179.04345579921733,12.42,3.74,48.0,0.0,0.6412507756830281
tempo,2,1200.0,587.1132195734687,129.56069886151113,14.47,2.22,94.6,1.0,0.9325659165833531
heavy-truck,0,10000.0,7271.7318291868905,455.1718334205933,5.01,28.97,73.9,1.0,0.5447662254672658
heavy-truck,0,10000.0,5322.964672300415,669.7577068074214,5.45,39.5,59.8,1.0,0.4955735919528624
heavy-truck,0,10000.0,4328.323546917379,661.5686781027582,5.33,38.14,98.0,1.0,0.5864237878809897
mini-truck,1,5000.0,4445.257244859824,304.6864698224549,6.63,18.56,74.0,1.0,0.8017898319519977
heavy-truck,0,10000.0,6273.426731173308,323.48411799972405,4.52,29.48,91.7,1.0,0.568464178649376
heavy-truck,0,10000.0,10307.261605218693,186.67048498028294,4.98,21.55,60.7,0.0,0.46162119598291784
tempo,2,1200.0,1113.1588587200445,77.78313285961396,13.29,1.94,46.7,0.0,0.6280316784559167
mini-truck,1,5000.0,1564.0037272381007,380.0660045297889,7.0,12.23,67.6,1.0,0.7497828398446592
mini-truck,1,5000.0,3780.174140378172,107.88459556607314,7.81,19.92,91.2,1.0,0.6804929033390203
delivery-van,3,800.0,559.9109596208426,83.46314607253916,12.98,2.48,96.2,0.0,0.7266633067460213
delivery-van,3,800.0,294.6119215426987,577.6334035326837,13.34,2.99,72.0,1.0,0.9425119685199062
mini-truck,1,5000.0,2004.3619969439485,524.493049980369,6.79,8.25,52.0,1.0,0.806108019553373
mini-truck,1,5000.0,2567.4610988638756,392.4726023850387,7.13,15.18,96.4,1.0,0.8105891039471367
heavy-truck,0,10000.0,6781.199271339624,391.614171426731,4.79,39.78,48.9,1.0,0.45141479214091534
heavy-truck,0,10000.0,1823.8261777911418,418.4336760585818,5.59,31.2,51.2,1.0,0.5925773454999274
heavy-truck,0,10000.0,7879.209281883447,414.4125849167827,5.55,28.81,61.9,1.0,0.5209291599650642
mini-truck,1,5000.0,3038.1451557522996,419.9253119207015,7.13,16.92,53.0,1.0,0.6080613894394034
delivery-van,3,800.0,727.4103483720407,79.39257965556912,11.7,2.84,74.9,1.0,0.9774739278028626
tempo,2,1200.0,1154.4891062746867,654.0598071749823,13.39,4.58,59.4,1.0,0.9043685816703103
tempo,2,1200.0,1133.524455987842,107.75993506519413,12.98,2.38,68.9,1.0,0.896853814355222
tempo,2,1200.0,1167.9553537710035,551.4733231409244,14.6,2.76,86.6,0.0,0.8208190927200582
mini-truck,1,5000.0,1719.5996851296543,398.21970006093017,8.06,11.12,68.2,1.0,0.8667958639314634
delivery-van,3,800.0,523.5496735140648,348.21047386115885,10.36,1.44,91.8,1.0,0.921393233617938
mini-truck,1,5000.0,2318.5533648328988,262.15056249042794,7.19,12.52,68.9,1.0,0.7671106392656916
heavy-truck,0,10000.0,2828.5310856363294,249.48027266218048,5.32,37.95,72.3,1.0,0.559060025751277
delivery-van,3,800.0,690.5775543522402,348.3315428932588,13.47,2.25,65.0,0.0,0.7714140914241826
tempo,2,1200.0,1185.8563020547444,295.91443184758924,15.82,3.79,67.7,0.0,0.8039693904146858
tempo,2,1200.0,801.306649704977,241.65521521991172,13.79,4.02,82.4,1.0,0.9402539336688327
mini-truck,1,5000.0,5198.309816176589,661.1325762346921,7.49,12.32,65.2,1.0,0.6151960934642724
delivery-van,3,800.0,419.766886547563,658.4033682501536,12.15,1.55,50.1,1.0,0.9056923361653271
heavy-truck,0,10000.0,6499.754015534903,337.1792640083686,5.48,42.04,82.8,1.0,0.46986873140120683
heavy-truck,0,10000.0,8298.642371415239,166.74744019423207,5.24,19.52,54.9,0.0,0.6025604983253035
mini-truck,1,5000.0,4806.019664756405,121.29920832236955,7.95,13.42,82.0,1.0,0.7838620352360421
delivery-van,3,800.0,418.9096386277372,336.3215642591482,13.64,2.0,81.6,0.0,0.7885193262538973
tempo,2,1200.0,931.0485550072841,515.865861841654,12.87,4.47,64.6,1.0,0.940907774430352
mini-truck,1,5000.0,1036.575169278867,420.0510539502173,7.25,17.12,78.1,1.0,0.7507277929245655
delivery-van,3,800.0,621.5625456880744,391.4965737764941,10.35,2.13,96.8,1.0,0.9607488849313891
heavy-truck,0,10000.0,9735.200463395371,217.24229874431876,5.68,33.35,53.1,1.0,0.5506770428250779
delivery-van,3,800.0,560.2021327986162,665.5546309187068,13.11,2.33,84.9,1.0,0.8744119861815006
tempo,2,1200.0,833.8098685001553,307.5287751339072,14.94,2.41,99.4,1.0,0.9225848506587108
heavy-truck,0,10000.0,3069.318565906681,604.4689262627303,5.18,21.9,94.5,1.0,0.8157392688802825
tempo,2,1200.0,411.3944129148074,489.30877120807065,15.44,5.22,94.5,1.0,0.9414058449009
mini-truck,1,5000.0,1822.5618862776607,217.4680889849899,7.18,14.27,67.9,1.0,0.8168073285004331
mini-truck,1,5000.0,1578.2346936031627,661.78255319261,7.38,13.56,78.3,1.0,0.746690043705358
tempo,2,1200.0,332.69788281737243,633.87749605611,16.1,2.5,89.4,1.0,1.0
delivery-van,3,800.0,613.5948371080298,60.57405900195043,12.09,1.91,98.7,0.0,0.8134638259258016
heavy-truck,0,10000.0,5029.165125065021,469.5214948827032,4.77,22.37,80.6,1.0,0.6388373852159351
delivery-van,3,800.0,366.6714391770701,405.06547094111687,13.67,2.98,66.2,1.0,0.9445024050303329
tempo,2,1200.0,967.6483389140757,343.67296144090267,15.34,4.19,78.0,1.0,0.9526048009345552
heavy-truck,0,10000.0,9388.412929104765,326.24618898985875,5.34,19.1,91.2,1.0,0.7297300125059527
tempo,2,1200.0,497.9654801340297,622.0551343778809,15.86,4.38,71.4,1.0,0.99585086205347
mini-truck,1,5000.0,5228.418430729237,202.87875465764978,7.76,9.25,56.3,1.0,0.6614380334149147
mini-truck,1,5000.0,1113.7667546562798,344.40393508743205,6.71,17.14,55.7,1.0,0.7341926469505557
delivery-van,3,800.0,364.8687319398157,250.44410389188215,11.97,2.22,49.5,1.0,0.9118745310225176
mini-truck,1,5000.0,3713.8678111499744,391.2428941104671,8.28,16.57,48.0,1.0,0.704505830583961
heavy-truck,0,10000.0,7173.626561295941,618.8137609022538,5.18,42.44,87.7,1.0,0.5892232891124803
delivery-van,3,800.0,244.8221140840994,148.6260451216898,10.58,2.67,77.8,0.0,0.668661709769054
delivery-van,3,800.0,533.2442015628549,62.14313310173807,10.76,1.31,80.7,1.0,0.8763807754340694
tempo,2,1200.0,1049.8415366239976,220.44857760176853,12.25,4.68,70.0,0.0,0.7079245881199666
delivery-van,3,800.0,305.44945652554844,580.9987310462444,13.06,3.22,54.3,1.0,0.8750420012145487
